Application_id,Submission_date,District_id,District_name,Proposed_use,max_storeys,residential_units,non_residential_gfa_m2,inside_mtsa,mtsa_corridor,Distance to Transit (meter),approval_score,synthetic_approval,,,,
OZ/OPA 25 23,12/19/2025,8,Erin Mills,Residential Apartments,,285,0,0,Not within a Major Transit Station Area.,138,70,1,,,,
OZ/OPA 22 1,1/10/2022,7,Meadowvale,Residential Detached,,8,0,0,Not within a Major Transit Station Area.,291,65,1,,,,
OZ/OPA 22 30,12/21/2022,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,,221,1719,1,Hurontario LRT,76,100,1,,,,
SP 22 27,2/25/2022,6,Central Erin Mills,Residential Townhouses,3,75,0,0,Not within a Major Transit Station Area.,323,65,1,,,,
SP 25 46,9/9/2025,8,Erin Mills,Residential Semi-Detached; Residential Townhouses,,36,0,0,Not within a Major Transit Station Area.,196,65,1,,,,
SP 22 99,6/30/2022,5,Malton / Northeast,Residential Apartments; General Retail Commercial,,1598,1542,1,Hurontario LRT,90,100,1,,,,
SP 22 142,10/19/2022,6,Central Erin Mills,Industrial General,,0,5427.5,0,Not within a Major Transit Station Area.,82,65,0,,,,
SP 22 2,1/10/2022,7,Meadowvale,Public/Institutional,24,0,205429,1,Hurontario LRT,152,90,1,,,,
SP 24 33,10/8/2024,3,Rathwood / Applewood,Industrial General,1,0,28333,1,403 BRT,197,90,1,,,,
SP 13 2,1/4/2013,6,Central Erin Mills,Residential Townhouses; Residential Apartments,,658,0,0,Not within a Major Transit Station Area.,63,70,1,,,,
OZ/OPA 24 12,10/3/2024,11,Streetsville,Residential Apartments,,305,0,0,Not within a Major Transit Station Area.,250,70,0,,,,
21T-M 22 4,9/21/2022,1,Lakeview / Port Credit,Community/Cultural,,0,449,1,Dundas BRT,201,90,1,,,,
SP 19 124,10/22/2019,2,Port Credit / Clarkson,Office,3,0,5511.88,0,Not within a Major Transit Station Area.,64,65,0,,,,
SP 23 18,12/19/2023,5,Malton / Northeast,General Retail Commercial,,0,3800.34,0,Not within a Major Transit Station Area.,146,65,1,,,,
SP 25 41,8/12/2025,5,Malton / Northeast,Industrial General,,0,190,0,Not within a Major Transit Station Area.,77,65,0,,,,
SPM 22 144,10/24/2022,5,Malton / Northeast,Office,1,0,206.1,0,Not within a Major Transit Station Area.,98,65,1,,,,
SP 25 4,1/24/2025,5,Malton / Northeast,Industrial General,2,0,2156.4,0,Not within a Major Transit Station Area.,102,65,1,,,,
SPM 24 14,4/29/2024,3,Rathwood / Applewood,Office,2,0,413.76,1,403 BRT,103,90,0,,,,
SP 20 99,9/4/2020,4,Mississauga Valleys,General Retail Commercial; Office,19,0,39152,1,Hurontario LRT,83,95,1,,,,
SP 20 34,3/19/2020,3,Rathwood / Applewood,Place of Religious Assembly,,0,1221.1,1,403 BRT,129,90,0,,,,
SP 20 86,8/12/2020,9,Meadowvale Village,Residential Detached,3,15,0,0,Not within a Major Transit Station Area.,86,65,0,,,,
OZ 21 18,11/30/2021,7,Meadowvale,Residential Detached,,1,0,0,Not within a Major Transit Station Area.,1225,50,0,,,,
OZ/OPA 22 27,12/12/2022,5,Malton / Northeast,Residential Townhouses,,16,0,0,Not within a Major Transit Station Area.,32,65,1,,,,
SP 25 37,7/21/2025,2,Port Credit / Clarkson,Industrial General,,0,701,0,Not within a Major Transit Station Area.,208,65,0,,,,
SP 25 17,3/12/2025,11,Streetsville,Residential Apartments; General Retail Commercial; Office,13,526,3242,0,Not within a Major Transit Station Area.,85,83,1,,,,
SP 25 25,5/6/2025,5,Malton / Northeast,General Retail Commercial,11,0,9407.7,1,Hurontario LRT,52,95,1,,,,
SP 25 68,12/16/2025,1,Lakeview / Port Credit,Residential Townhouses,,88,0,1,Lakeshore BRT,88,90,1,,,,
SP 22 52,4/12/2022,9,Meadowvale Village,Industrial General,,0,4577.76,0,Not within a Major Transit Station Area.,147,65,0,,,,
SP 24 49,11/25/2024,8,Erin Mills,General Retail Commercial,6,0,8583.4,0,Not within a Major Transit Station Area.,162,70,1,,,,
OZ/OPA 24 7,5/23/2024,11,Streetsville,Residential Apartments,,633,0,0,Not within a Major Transit Station Area.,149,70,1,,,,
OZ 21 13,9/28/2021,7,Meadowvale,Residential Detached,,9,0,0,Not within a Major Transit Station Area.,327,65,0,,,,
OZ/OPA 24 15,12/4/2024,9,Meadowvale Village,Residential Apartments,,3162,0,0,Not within a Major Transit Station Area.,122,70,1,,,,
OZ/OPA 21 11,8/25/2021,7,Meadowvale,Residential Apartments; General Retail Commercial,,1691,1222,1,Hurontario LRT,108,100,1,,,,
SP 25 15,3/10/2025,8,Erin Mills,Automotive Service Commercial,,0,238.7,0,Not within a Major Transit Station Area.,40,65,0,,,,
SP 23 8,2/27/2023,5,Malton / Northeast,General Retail Commercial,7,0,11559,1,Hurontario LRT,121,95,1,,,,
SP 25 45,9/2/2025,7,Meadowvale,Residential Apartments,,316,0,1,Hurontario LRT,65,95,1,,,,
SP 24 19,5/31/2024,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,35,360,577,1,Lakeshore BRT,824,93,1,,,,
